店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
成吉思汗大黒屋 函館五稜郭店,050-5493-3015, ,北海道,函館市本町,23-5,マルゼンビル1F,https://ha5t800.gorp.jp/,True
北海道産肉と直送海鮮の個室居酒屋 蔵之助 函館五稜郭店,050-5488-2161, ,北海道,函館市本町,8-21, ,https://ha10003.gorp.jp/,True
いか太郎本店,050-5488-6116, ,北海道,函館市若松町,18-23, ,https://h205800.gorp.jp/,True
海鮮居酒屋 いさり,050-5487-9929, ,北海道,函館市松風町,8-17, ,https://isari-hakodate.gorp.jp/,True
濱焼北海道魚萬 函館南口駅前店,0138-22-6288, ,北海道,函館市若松町,16-10,函館駅前ビル1・2F,https://ha04004.gorp.jp/,True
そる,050-5487-1395, ,北海道,函館市本町,6-14, ,https://ha0m400.gorp.jp/,True
北海道丸ごと食べ放題 ふでむら 函館五稜郭店,050-5487-9816, ,北海道,函館市五稜郭町,36-1, ,https://hudemura-hakodate.gorp.jp/,True
メインダイニング フォーポイント,050-5486-8726, ,北海道,函館市若松町,14-10,フォーポイントバイシェラトン函館2F,https://maindining-fourpoint.gorp.jp/,True
カジュアル肉割烹×海鮮個室居酒屋 仁 ‐JIN‐,050-5486-5795, ,北海道,函館市本町,25-13,2F,https://h981500.gorp.jp/,True
本町 大人の和料理 あき山,050-5488-1788, ,北海道,函館市本町,21-1, ,https://ha2r800.gorp.jp/,True
座敷個室完備 海鮮居酒屋 魚鮮水産 函館五稜郭公園前店,050-5492-1829, ,北海道,函館市本町,8-20,みつわビル1F,https://h200603.gorp.jp/,True
函館海鮮居酒屋 魚まさ 五稜郭総本店,050-5487-0797, ,北海道,函館市本町,4-8, ,https://h202901.gorp.jp/,True
はこ民食堂,050-5488-6115, ,北海道,"函館市若松町</span> <span class=""locality"">",18-1,18-1,https://h205803.gorp.jp/,True
旬の味 ご馳走亭,050-5485-3520, ,北海道,函館市本町,11-8, ,https://gochisoutei.gorp.jp/,True
大門 福寿し,050-5492-2363, ,北海道,函館市松風町,15-2, ,https://h319200.gorp.jp/,True
マルカン漁業部 海がき 本店,050-5485-1865, ,北海道,函館市松風町,8-2, ,https://umigaki.gorp.jp/,True
黒毛和牛と炭火焼肉 味千磨,050-5487-9509, ,北海道,函館市梁川町,8-9, ,https://ajisenma-hakodate.gorp.jp/,True
日本酒×北海道食材 地元家 函館総本店,050-5485-0968, ,北海道,函館市本町,5-16, ,https://h808600.gorp.jp/,True
個室居酒屋　くいもの屋わん 函館五稜郭店,050-5484-6413, ,北海道,函館市本町,8-20,みつわビル2F,https://wan-hakodate.gorp.jp/,True
